persistence intervals in dim 0:
 [0,2.73782e-05)
 [0,3.10692e-05)
 [0,4.51266e-05)
 [0,5.31399e-05)
 [0,7.85948e-05)
 [0,9.83027e-05)
 [0,0.000108397)
 [0,0.000172908)
 [0,0.000173647)
 [0,0.000178058)
 [0,0.000186178)
 [0,0.000195438)
 [0,0.000203213)
 [0,0.000209156)
 [0,0.000210347)
 [0,0.000214252)
 [0,0.000214354)
 [0,0.000237521)
 [0,0.000244656)
 [0,0.000254186)
 [0,0.000255452)
 [0,0.000255625)
 [0,0.000258755)
 [0,0.000260298)
 [0,0.000260317)
 [0,0.000261921)
 [0,0.000263411)
 [0,0.000264792)
 [0,0.000265167)
 [0,0.00026725)
 [0,0.000270342)
 [0,0.000270882)
 [0,0.000278879)
 [0,0.000283576)
 [0,0.000284839)
 [0,0.000285139)
 [0,0.000289081)
 [0,0.000290504)
 [0,0.000291754)
 [0,0.000295721)
 [0,0.000296419)
 [0,0.000300568)
 [0,0.000301682)
 [0,0.000310106)
 [0,0.000316829)
 [0,0.000318409)
 [0,0.000318876)
 [0,0.000320038)
 [0,0.000320213)
 [0,0.000322812)
 [0,0.000323085)
 [0,0.00032483)
 [0,0.000325353)
 [0,0.000326764)
 [0,0.000327191)
 [0,0.000335685)
 [0,0.000337169)
 [0,0.000341082)
 [0,0.000342355)
 [0,0.000344282)
 [0,0.000347873)
 [0,0.00035325)
 [0,0.000354444)
 [0,0.000355755)
 [0,0.000355786)
 [0,0.000355955)
 [0,0.000362486)
 [0,0.000362816)
 [0,0.000367706)
 [0,0.000370263)
 [0,0.000372241)
 [0,0.000372466)
 [0,0.000374278)
 [0,0.000374559)
 [0,0.000375482)
 [0,0.000376147)
 [0,0.000378357)
 [0,0.00038197)
 [0,0.000384725)
 [0,0.000385592)
 [0,0.00038616)
 [0,0.000388873)
 [0,0.000389439)
 [0,0.00039091)
 [0,0.000391521)
 [0,0.000392364)
 [0,0.000397823)
 [0,0.000398775)
 [0,0.000400994)
 [0,0.000403199)
 [0,0.000404678)
 [0,0.000407663)
 [0,0.000409888)
 [0,0.000410519)
 [0,0.000412161)
 [0,0.000413711)
 [0,0.000415266)
 [0,0.000418512)
 [0,0.000421971)
 [0,0.000423496)
 [0,0.000425327)
 [0,0.000425966)
 [0,0.000427577)
 [0,0.00042823)
 [0,0.000429172)
 [0,0.00043543)
 [0,0.000435516)
 [0,0.000440245)
 [0,0.00044072)
 [0,0.000441635)
 [0,0.000442354)
 [0,0.000444627)
 [0,0.000446713)
 [0,0.000449312)
 [0,0.000450349)
 [0,0.000456624)
 [0,0.00045766)
 [0,0.000460349)
 [0,0.000460414)
 [0,0.000463957)
 [0,0.000465539)
 [0,0.000466234)
 [0,0.000467398)
 [0,0.000469504)
 [0,0.000469624)
 [0,0.000473345)
 [0,0.000474864)
 [0,0.000475866)
 [0,0.000476608)
 [0,0.000476672)
 [0,0.000478953)
 [0,0.000479139)
 [0,0.000479601)
